date,ride_count
2021-06-14,2803
2021-06-15,3104
2021-06-16,3262
2021-06-17,3398
2021-06-18,3471
2021-06-19,2708
2021-06-20,2985
2021-06-21,2534
2021-06-22,2142
2021-06-23,3391
2021-06-24,3462
2021-06-25,3680
2021-06-26,3216
2021-06-27,2752
2021-06-28,2783
2021-06-29,2697
2021-06-30,2586
